Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,30.70695845,-88.09843052
Acute Care Hospitals,Proprietary,Yes,Y,2,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,33.8426354,-87.23605798
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,38.9445417,-76.99340684
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,31.69436245,-87.77619544
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,,
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,32.6954673,-87.58698117
Acute Care Hospitals,Government - State,Yes,Y,3,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Below the national average,Not Available,32.5526513,-86.18619538
Acute Care Hospitals,Physician,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31.1267347,-87.07360549
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,30.51903605,-87.88835175
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,33.4404993,-86.09073711
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,31.99745625,-87.30017061
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,33.4974069,-86.84793758
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,39.7697276,-84.20264866
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,32.4640449,-86.45235348
Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,29.70500215,-95.39693256
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,32.14666625,-85.71724114
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,32.50487585,-87.8369456
